"id","echelle","indicateur","valeur"
"4","recoquartier","nb_copro_reco","3"
"4","recoquartier","somme_nlogh_copro_reco","8"
"4","recoquartier","part_syndic_pro_copro_reco","0.63"
"4","recoquartier","part_syndic_benevole_copro_reco","0.38"
"4","recoquartier","part_syndic_sans_info_copro_reco","-0.01"
"4","recoquartier","somme_individus","82"
"4","recoquartier","somme_menages","42"
"4","recoquartier","tmm","1.94"
"4","recoquartier","part_men_pauvre","0.12"
"4","recoquartier","part_men_1ind","0.43"
"4","recoquartier","part_men_5ind","0.03"
"4","recoquartier","part_men_fmonoparentale","0.11"
"4","recoquartier","surface_par_individu","50.94"
"4","recoquartier","niveau_vie_individu","26826.62"
"4","recoquartier","ind_0_17_ans","0.16"
"4","recoquartier","ind_18_24_ans","0.08"
"4","recoquartier","ind_25_39_ans","0.16"
"4","recoquartier","ind_40_64_ans","0.33"
"4","recoquartier","ind_65_ans_et_plus","0.26"
"4","recoquartier","part_dpe_efg","0.4"
"4","recoquartier","part_bat_0_300_m_ev","0.82"
"4","recoquartier","part_bat_300_850_m_ev","0.18"
"4","recoquartier","taux_impermeabilisation","71"
"4","recoquartier","qpv_lib",""
"4","recoquartier","part_qpv","0"
"4","recoquartier","part_abf","0"
"4","recoquartier","classification_ville","5"
"4","recoquartier","classification_ville_lib","Grande centralité"
"4","recoquartier","somme_nlogh_tout_bati","93"
"4","recoquartier","somme_loccom_tout_bati","18"
"4","recoquartier","densite_tous_logh_ha","23"
"4","recoquartier","densite_tous_loccom_ha","4"
"4","recoquartier","estim_pop","130"
"4","recoquartier","nb_loccom_1000_hab","138"
"4","recoquartier","part_logh_1p","0.2"
"4","recoquartier","part_logh_2p","0.22"
"4","recoquartier","part_logh_3p","0.26"
"4","recoquartier","part_logh_4p","0.15"
"4","recoquartier","part_logh_5p_et_plus","0.17"
"4","recoquartier","part_logh_rs","0.06"
"4","recoquartier","id_village_avenir",""
"4","recoquartier","id_pvd",""
"4","recoquartier","id_acv","acv-006"
"4","recoquartier","part_mur_beton_agglo","0.29"
"4","recoquartier","part_mur_pierre_meuliere","0.29"
"4","recoquartier","part_mur_briques","0.26"
"4","recoquartier","part_mur_autres_indetermines","0.16"
"4","recoquartier","part_toit_zinc_alu","0"
"4","recoquartier","part_toit_zinc_ardoises","0.63"
"4","recoquartier","part_toit_tuiles","0"
"4","recoquartier","part_toit_beton","0.13"
"4","recoquartier","part_toit_autres_indetermines","0.24"
"4","recoquartier","fid","4"
"4","recoquartier","clust","3"
"4","recoquartier","clust_bis","3bis"
"4","recoquartier","lib_clust_bis","Les Quartiers polarisés et fonctionnels"
"5","recoquartier","dep","Orne"
"5","recoquartier","epci","CU d'Alençon"
"5","recoquartier","insee_com","{61001}"
"5","recoquartier","commune","Alençon"
"5","recoquartier","nom_iris","Écouves, Halle aux Toiles-Centre-Préfecture"
"5","recoquartier","insee_com_rattacht","61001"
"5","recoquartier","nom_com_rattacht","Alençon"
"5","recoquartier","nb_batiment_reco","3"
"5","recoquartier","somme_nlogh_reco","12"
"5","recoquartier","nb_logt_par_batiment","4"
"5","recoquartier","somme_nloccom_reco","3"
"5","recoquartier","part_nloghloue_reco","0.58"
"5","recoquartier","part_nloghpp_reco","0.25"
"5","recoquartier","part_nloghvac2a_reco","0"
"5","recoquartier","part_0_2_etages","0.33"
"5","recoquartier","part_3_5_etages","0.67"
"5","recoquartier","part_6_et_plus_etages","0"
"5","recoquartier","part_copro_reco","0.4"
"5","recoquartier","part_nloghlls_exo_fiscale_reco","0"
"5","recoquartier","part_nlogh_orga_hlm_reco","0"
"5","recoquartier","surface_ha","0.6"
"5","recoquartier","nb_copro_reco","0"
"5","recoquartier","somme_nlogh_copro_reco","0"
"5","recoquartier","part_syndic_pro_copro_reco","0"
"5","recoquartier","part_syndic_benevole_copro_reco","0"
"5","recoquartier","part_syndic_sans_info_copro_reco","0"
"5","recoquartier","somme_individus","11"
"5","recoquartier","somme_menages","6"
"5","recoquartier","tmm","1.83"
"5","recoquartier","part_men_pauvre","0.22"
"5","recoquartier","part_men_1ind","0.6"
"5","recoquartier","part_men_5ind","0.05"
"5","recoquartier","part_men_fmonoparentale","0.04"
"5","recoquartier","surface_par_individu","46.27"
"5","recoquartier","niveau_vie_individu","25365.92"
"5","recoquartier","ind_0_17_ans","0.21"
"5","recoquartier","ind_18_24_ans","0.09"
"5","recoquartier","ind_25_39_ans","0.27"
"5","recoquartier","ind_40_64_ans","0.27"
"5","recoquartier","ind_65_ans_et_plus","0.16"
"5","recoquartier","part_dpe_efg",""
"5","recoquartier","part_bat_0_300_m_ev","1"
"5","recoquartier","part_bat_300_850_m_ev","0"
"5","recoquartier","taux_impermeabilisation","94"
"5","recoquartier","qpv_lib",""
"5","recoquartier","part_qpv","0"
"5","recoquartier","part_abf","0"
"5","recoquartier","classification_ville","5"
"5","recoquartier","classification_ville_lib","Grande centralité"
"5","recoquartier","somme_nlogh_tout_bati","24"
"5","recoquartier","somme_loccom_tout_bati","6"
"5","recoquartier","densite_tous_logh_ha","39"
"5","recoquartier","densite_tous_loccom_ha","10"
"5","recoquartier","estim_pop","32"
"5","recoquartier","nb_loccom_1000_hab","188"
"5","recoquartier","part_logh_1p","0.67"
"5","recoquartier","part_logh_2p","0.08"
"5","recoquartier","part_logh_3p","0.08"
"5","recoquartier","part_logh_4p","0.17"
"5","recoquartier","part_logh_5p_et_plus","0"
"5","recoquartier","part_logh_rs","0"
"5","recoquartier","id_village_avenir",""
"5","recoquartier","id_pvd",""
"5","recoquartier","id_acv","acv-006"
"5","recoquartier","part_mur_beton_agglo","1"
"5","recoquartier","part_mur_pierre_meuliere","0"
"5","recoquartier","part_mur_briques","0"
"5","recoquartier","part_mur_autres_indetermines","0"
"5","recoquartier","part_toit_zinc_alu","0"
"5","recoquartier","part_toit_zinc_ardoises","0"
"5","recoquartier","part_toit_tuiles","1"
"5","recoquartier","part_toit_beton","0"
"5","recoquartier","part_toit_autres_indetermines","0"
"5","recoquartier","fid","5"
"5","recoquartier","clust","5"
"5","recoquartier","clust_bis","5bis"
"5","recoquartier","lib_clust_bis","Les Quartiers en couture des centralités"
"6","recoquartier","dep","Orne"
"6","recoquartier","epci","CU d'Alençon"
"6","recoquartier","insee_com","{61001}"
"6","recoquartier","commune","Alençon"
"6","recoquartier","nom_iris","Centre Ville-Saint-Léonard-Notre-Dame, Lancrel, Villeneuve"
"6","recoquartier","insee_com_rattacht","61001"
"6","recoquartier","nom_com_rattacht","Alençon"
"6","recoquartier","nb_batiment_reco","4"
"6","recoquartier","somme_nlogh_reco","24"
"6","recoquartier","nb_logt_par_batiment","6"
"6","recoquartier","somme_nloccom_reco","2"
"6","recoquartier","part_nloghloue_reco","0.58"
"6","recoquartier","part_nloghpp_reco","0.25"
"6","recoquartier","part_nloghvac2a_reco","0.08"
"6","recoquartier","part_0_2_etages","0.25"
"6","recoquartier","part_3_5_etages","0.75"
"6","recoquartier","part_6_et_plus_etages","0"
"6","recoquartier","part_copro_reco","0.96"
"6","recoquartier","part_nloghlls_exo_fiscale_reco","0"
"6","recoquartier","part_nlogh_orga_hlm_reco","0"
"6","recoquartier","surface_ha","0.8"
"6","recoquartier","nb_copro_reco","0"
"6","recoquartier","somme_nlogh_copro_reco","0"
"6","recoquartier","part_syndic_pro_copro_reco","0"
"6","recoquartier","part_syndic_benevole_copro_reco","0"
"6","recoquartier","part_syndic_sans_info_copro_reco","0"
"6","recoquartier","somme_individus","30"
"6","recoquartier","somme_menages","14"
"6","recoquartier","tmm","2.12"
"6","recoquartier","part_men_pauvre","0.1"
"6","recoquartier","part_men_1ind","0.44"
"6","recoquartier","part_men_5ind","0.06"
"6","recoquartier","part_men_fmonoparentale","0.13"
"6","recoquartier","surface_par_individu","49.73"
"6","recoquartier","niveau_vie_individu","27210.96"
"6","recoquartier","ind_0_17_ans","0.16"
"6","recoquartier","ind_18_24_ans","0.15"
"6","recoquartier","ind_25_39_ans","0.11"
"6","recoquartier","ind_40_64_ans","0.37"
"6","recoquartier","ind_65_ans_et_plus","0.22"
"6","recoquartier","part_dpe_efg","1"
"6","recoquartier","part_bat_0_300_m_ev","1"
"6","recoquartier","part_bat_300_850_m_ev","0"
"6","recoquartier","taux_impermeabilisation","68"
"6","recoquartier","qpv_lib",""
"6","recoquartier","part_qpv","0"
"6","recoquartier","part_abf","0"
"6","recoquartier","classification_ville","5"
"6","recoquartier","classification_ville_lib","Grande centralité"
"6","recoquartier","somme_nlogh_tout_bati","33"
"6","recoquartier","somme_loccom_tout_bati","3"
"6","recoquartier","densite_tous_logh_ha","39"
"6","recoquartier","densite_tous_loccom_ha","4"
"6","recoquartier","estim_pop","55"
"6","recoquartier","nb_loccom_1000_hab","55"
"6","recoquartier","part_logh_1p","0.07"
"6","recoquartier","part_logh_2p","0.14"
"6","recoquartier","part_logh_3p","0.5"
"6","recoquartier","part_logh_4p","0.11"
"6","recoquartier","part_logh_5p_et_plus","0.18"
